context,action,reward,"Q(c,23)","Q(c,14)","Q(c,8)","Q(c,3)"
neutral,23,-23,-2.1973427041670486,-1.1459916661943592,-0.5679431605260801,-0.6884947565950235
reward,8,-8,6.081277273311493,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-4.3699884277877485,-3.5477774682061147,-0.852469002057403,-1.6988790339720876
neutral,8,-8,-2.1973427041670486,-1.1459916661943592,-1.3111488444734722,-0.6884947565950235
punishment,3,3,-4.3699884277877485,-3.5477774682061147,-0.852469002057403,-1.2289911305748789
neutral,14,-14,-2.1973427041670486,-2.4313924995749234,-1.3111488444734722,-0.6884947565950235
punishment,14,-14,-4.3699884277877485,-4.592999721385503,-0.852469002057403,-1.2289911305748789
punishment,3,-3,-4.3699884277877485,-4.592999721385503,-0.852469002057403,-1.406092017517391
reward,23,23,7.773149545980344,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,9.29583459138231,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,10.666251132244078,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,23,-23,-4.277608433750344,-2.4313924995749234,-1.3111488444734722,-0.6884947565950235
punishment,8,-8,-4.3699884277877485,-4.592999721385503,-1.5672221018516628,-1.406092017517391
punishment,8,-8,-4.3699884277877485,-4.592999721385503,-2.2104998916664966,-1.406092017517391
reward,23,23,11.89962601901967,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,23,23,-1.5498475903753093,-2.4313924995749234,-1.3111488444734722,-0.6884947565950235
reward,23,23,13.009663417117704,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,14.008697075405934,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,14.907827367865341,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,15.717044631078807,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,16.445340167970926,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,8,-4.3699884277877485,-4.592999721385503,-1.1894499024998468,-1.406092017517391
neutral,3,3,-1.5498475903753093,-2.4313924995749234,-1.3111488444734722,-0.3196452809355211
neutral,8,-8,-1.5498475903753093,-2.4313924995749234,-1.980033960026125,-0.3196452809355211
reward,23,23,17.100806151173835,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-1.5498475903753093,-2.4313924995749234,-1.980033960026125,-0.587680752841969
punishment,3,-3,-4.3699884277877485,-4.592999721385503,-1.1894499024998468,-1.565482815765652
reward,23,23,17.69072553605645,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,23,23,0.9051371686622218,-2.4313924995749234,-1.980033960026125,-0.587680752841969
neutral,23,-23,-1.4853765482040004,-2.4313924995749234,-1.980033960026125,-0.587680752841969
punishment,8,-8,-4.3699884277877485,-4.592999721385503,-1.8705049122498623,-1.565482815765652
neutral,3,3,-1.4853765482040004,-2.4313924995749234,-1.980033960026125,-0.22891267755777206
neutral,3,-3,-1.4853765482040004,-2.4313924995749234,-1.980033960026125,-0.5060214098019948
reward,23,23,18.221652982450806,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,18.699487684205724,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,14,14,-1.4853765482040004,-0.788253249617431,-1.980033960026125,-0.5060214098019948
